Season,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,W_H,D_H,L_H,GF_H,GA_H,GD_H,W_A,D_A,L_A,GF_A,GA_A,GD_A
2012,32,2,2.0,2.0,D,1.9,3.5,4.76,1.9,3.5,4.76,1.82,3.36,4.18,3,7,5,13,17,-4,2,4,9,14,28,-14
2012,34,16,0.0,1.0,A,1.74,3.65,5.84,1.77,3.75,6.0,1.66,3.52,5.04,3,5,7,13,22,-9,1,5,9,13,25,-12
2012,17,26,2.0,0.0,H,1.93,3.57,4.53,1.94,3.6,4.55,1.81,3.4,4.21,5,4,5,18,21,-3,5,2,8,20,27,-7
2012,3,35,1.0,0.0,H,1.78,3.74,5.26,1.9,3.74,5.26,1.8,3.38,4.33,11,2,1,26,8,18,10,4,1,22,11,11
2012,12,11,1.0,2.0,A,2.77,3.37,2.76,2.77,3.38,2.8,2.53,3.18,2.67,4,3,8,23,30,-7,4,6,5,14,14,0
2012,22,29,2.0,1.0,H,1.54,4.34,7.02,1.56,4.34,7.02,1.53,3.8,6.1,7,6,2,19,11,8,5,5,5,18,18,0
2012,33,21,1.0,2.0,A,2.31,3.3,3.5,2.31,3.45,3.75,2.11,3.27,3.33,8,1,6,23,18,5,9,1,5,21,13,8
2012,18,27,1.0,0.0,H,1.83,3.5,5.25,1.83,3.7,5.26,1.73,3.44,4.68,9,5,1,26,9,17,3,4,8,15,18,-3
2012,30,6,1.0,1.0,D,2.49,3.43,3.05,2.7,3.43,3.05,2.49,3.18,2.73,4,5,6,12,16,-4,7,2,6,25,20,5
2012,14,18,1.0,1.0,D,2.58,3.28,3.01,2.58,3.31,3.01,2.43,3.17,2.79,8,2,6,21,20,1,10,5,1,27,9,18
2012,21,30,1.0,2.0,A,1.63,3.77,6.94,1.64,4.0,7.25,1.54,3.73,6.15,10,1,5,23,14,9,4,6,6,13,17,-4
2012,2,3,1.0,1.0,D,3.76,3.37,2.16,4.0,3.5,2.16,3.62,3.3,1.98,2,5,9,16,30,-14,12,2,1,27,8,19
2012,29,5,0.0,2.0,A,1.61,4.15,6.19,1.7,4.15,6.19,1.62,3.63,5.21,5,5,6,19,20,-1,2,7,7,12,22,-10
2012,6,34,2.0,0.0,H,1.41,4.93,8.82,1.5,5.2,8.82,1.41,4.19,7.39,7,3,6,26,21,5,3,5,8,13,23,-10
2012,26,33,3.0,0.0,H,2.45,3.58,2.96,2.5,3.58,3.0,2.41,3.24,2.77,5,2,9,20,29,-9,8,1,7,24,20,4
2012,27,17,1.0,0.0,H,1.79,3.7,5.2,1.92,3.9,5.2,1.82,3.43,4.17,3,4,9,15,19,-4,6,4,5,20,21,-1
2012,11,22,1.0,0.0,H,2.06,3.44,4.09,2.15,3.44,4.21,2.03,3.19,3.62,5,6,5,16,15,1,8,6,2,21,12,9
2012,16,32,1.0,3.0,A,2.68,3.49,2.77,2.88,3.49,2.77,2.58,3.2,2.59,2,5,9,14,25,-11,3,8,5,15,19,-4
2012,35,12,2.0,2.0,D,1.73,3.96,5.26,1.75,3.96,6.5,1.61,3.68,5.32,10,4,2,22,12,10,4,3,9,24,32,-8
2012,18,34,1.0,0.0,H,1.53,4.42,6.82,1.56,4.42,8.0,1.46,4.07,6.8,10,6,1,28,10,18,3,5,9,13,25,-12
